Cruise	k	q_out	fsc_spread
DeepDOM	7	0.5	5000
GP15_1	7	0.25	10000
GP15_2	7	0.25	10000
HOT331	3	0.25	10000
HOT332	3	0.25	10000
KiloMoana_1	7	0.25	7500
KM1712	5	0.75	10000
KM1906_towfish	3	0.75	15000
KM1919	1	0.25	10000
KM1920	7	0.25	10000
KM1923_740	5	0.75	10000
KM2206_740	7	0.25	10000
KOK1806	7	0.25	10000
MBARI_2	5	0.75	10000
MBARI_3	5	1	10000
MESO_SCOPE	7	0.5	10000
MGL1704	7	0.75	10000
RR2106	7	0.25	10000
SCOPE_Falkor1	5	0.5	10000
SCOPE_Falkor2	7	0.25	10000
SCOPE-PARAGON	7	0.25	10000
SCOPE-PARAGONII	5	0.25	10000
SR1917	7	0.25	10000
Thompson_0	3	0.25	10000
Thompson_4	7	1	10000
Thompson_5	7	0.25	10000
Thompson_6	3	0.25	15000
Thompson_10	5	0.25	10000
Thompson_11	7	0.75	10000
TN266	3	0.25	10000
TN396_740	7	0.25	10000
TN397_740	5	0.25	5000
TN398	7	0.25	10000
TN412_130	5	0.25	10000
TN413	5	0.25	10000
Tokyo_1	5	0.25	15000
Tokyo_2	5	0.5	15000
