"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"91f5a419-5d4d-45f8-8673-eb3a4de4b6cb"	"2024-02-09T20:34:02+00:00"	"2.5"	"43552"	"18992"	"22496"	"15000"	"0.551"	"0.631"	"1.359"	"1.324"	"-5000"	"-5000"	"-40195"	"-35167"
"91f5a419-5d4d-45f8-8673-eb3a4de4b6cb"	"2024-02-09T20:34:02+00:00"	"50"	"44032"	"17760"	"21552"	"15000"	"0.517"	"0.603"	"1.37"	"1.337"	"-5000"	"-5000"	"-42564"	"-37319"
"91f5a419-5d4d-45f8-8673-eb3a4de4b6cb"	"2024-02-09T20:34:02+00:00"	"97.5"	"44512"	"16528"	"20608"	"15000"	"0.484"	"0.575"	"1.382"	"1.349"	"-5000"	"-5000"	"-44988"	"-39439"
"ca62ec1a-0724-4ee0-b67f-802ef29fbe8c"	"2024-02-09T20:34:02+00:00"	"2.5"	"46736"	"24232"	"21824"	"15000"	"0.625"	"0.574"	"1.359"	"1.324"	"-5000"	"-5000"	"-39282"	"-40054"
"ca62ec1a-0724-4ee0-b67f-802ef29fbe8c"	"2024-02-09T20:34:02+00:00"	"50"	"47408"	"22080"	"20984"	"15000"	"0.571"	"0.548"	"1.37"	"1.337"	"-5000"	"-5000"	"-42869"	"-42400"
"ca62ec1a-0724-4ee0-b67f-802ef29fbe8c"	"2024-02-09T20:34:02+00:00"	"97.5"	"48080"	"19928"	"20144"	"15000"	"0.518"	"0.523"	"1.382"	"1.349"	"-5000"	"-5000"	"-46519"	"-44716"
"caa04f05-ca89-486e-8197-22043124909f"	"2024-02-09T20:34:02+00:00"	"2.5"	"35840"	"11504"	"10408"	"15000"	"0.46"	"0.43"	"1.359"	"1.324"	"-5000"	"-5000"	"-37203"	"-37044"
"caa04f05-ca89-486e-8197-22043124909f"	"2024-02-09T20:34:02+00:00"	"50"	"37504"	"8448"	"8752"	"15000"	"0.359"	"0.367"	"1.37"	"1.337"	"-5000"	"-5000"	"-42932"	"-41391"
"caa04f05-ca89-486e-8197-22043124909f"	"2024-02-09T20:34:02+00:00"	"97.5"	"39168"	"5392"	"7096"	"15000"	"0.265"	"0.309"	"1.382"	"1.349"	"-5000"	"-5000"	"-48738"	"-45742"
"aa60f389-6815-4949-be5f-bc01a44e4de3"	"2024-02-09T20:34:03+00:00"	"2.5"	"47260"	"22288"	"21648"	"15000"	"0.577"	"0.564"	"1.359"	"1.324"	"-5000"	"-5000"	"-41938"	"-40924"
"aa60f389-6815-4949-be5f-bc01a44e4de3"	"2024-02-09T20:34:03+00:00"	"50"	"47824"	"20688"	"21120"	"15000"	"0.537"	"0.546"	"1.37"	"1.337"	"-5000"	"-5000"	"-44831"	"-42821"
"aa60f389-6815-4949-be5f-bc01a44e4de3"	"2024-02-09T20:34:03+00:00"	"97.5"	"48388"	"19088"	"20592"	"15000"	"0.498"	"0.529"	"1.382"	"1.349"	"-5000"	"-5000"	"-47784"	"-44683"
"e21ba48b-3c64-49b0-b0bc-a5a7186863f0"	"2024-02-09T20:34:03+00:00"	"2.5"	"46924"	"20576"	"21424"	"15000"	"0.545"	"0.563"	"1.359"	"1.324"	"-5000"	"-5000"	"-43194"	"-40703"
"e21ba48b-3c64-49b0-b0bc-a5a7186863f0"	"2024-02-09T20:34:03+00:00"	"50"	"47776"	"19408"	"20864"	"15000"	"0.511"	"0.541"	"1.37"	"1.337"	"-5000"	"-5000"	"-46045"	"-43013"
"e21ba48b-3c64-49b0-b0bc-a5a7186863f0"	"2024-02-09T20:34:03+00:00"	"97.5"	"48628"	"18240"	"20304"	"15000"	"0.478"	"0.52"	"1.382"	"1.349"	"-5000"	"-5000"	"-48964"	"-45295"
"4406a771-235d-46a6-96e5-5fcc8d4b41e2"	"2024-02-09T20:34:03+00:00"	"2.5"	"42228"	"20882"	"17676"	"15000"	"0.613"	"0.537"	"1.359"	"1.324"	"-5000"	"-5000"	"-36506"	"-38234"
"4406a771-235d-46a6-96e5-5fcc8d4b41e2"	"2024-02-09T20:34:03+00:00"	"50"	"43184"	"17304"	"16556"	"15000"	"0.516"	"0.499"	"1.37"	"1.337"	"-5000"	"-5000"	"-41858"	"-41181"
"4406a771-235d-46a6-96e5-5fcc8d4b41e2"	"2024-02-09T20:34:03+00:00"	"97.5"	"44140"	"13726"	"15436"	"15000"	"0.424"	"0.463"	"1.382"	"1.349"	"-5000"	"-5000"	"-47275"	"-44109"
"adfc10f5-5f07-42bb-b875-74acdbe45b32"	"2024-02-09T20:34:03+00:00"	"2.5"	"36272"	"17280"	"11736"	"15000"	"0.614"	"0.461"	"1.359"	"1.324"	"-5000"	"-5000"	"-32014"	"-36288"
"adfc10f5-5f07-42bb-b875-74acdbe45b32"	"2024-02-09T20:34:03+00:00"	"50"	"38000"	"12816"	"9784"	"15000"	"0.469"	"0.389"	"1.37"	"1.337"	"-5000"	"-5000"	"-39244"	"-41022"
"adfc10f5-5f07-42bb-b875-74acdbe45b32"	"2024-02-09T20:34:03+00:00"	"97.5"	"39728"	"8352"	"7832"	"15000"	"0.336"	"0.323"	"1.382"	"1.349"	"-5000"	"-5000"	"-46552"	"-45761"
"b82fb368-47e8-4c5e-ae79-ba76d8233c44"	"2024-02-09T20:34:04+00:00"	"2.5"	"36266"	"14132"	"10632"	"15000"	"0.528"	"0.431"	"1.359"	"1.324"	"-5000"	"-5000"	"-35153"	"-37384"
"b82fb368-47e8-4c5e-ae79-ba76d8233c44"	"2024-02-09T20:34:04+00:00"	"50"	"37856"	"11000"	"8856"	"15000"	"0.423"	"0.366"	"1.37"	"1.337"	"-5000"	"-5000"	"-40863"	"-41757"
"b82fb368-47e8-4c5e-ae79-ba76d8233c44"	"2024-02-09T20:34:04+00:00"	"97.5"	"39446"	"7868"	"7080"	"15000"	"0.326"	"0.306"	"1.382"	"1.349"	"-5000"	"-5000"	"-46646"	"-46133"
"fbcc4195-ca08-45b3-a2c9-e680397261f0"	"2024-02-09T20:34:04+00:00"	"2.5"	"46980"	"22136"	"22488"	"15000"	"0.578"	"0.585"	"1.359"	"1.324"	"-5000"	"-5000"	"-41710"	"-39714"
"fbcc4195-ca08-45b3-a2c9-e680397261f0"	"2024-02-09T20:34:04+00:00"	"50"	"47616"	"20464"	"21936"	"15000"	"0.535"	"0.566"	"1.37"	"1.337"	"-5000"	"-5000"	"-44770"	"-41727"
"fbcc4195-ca08-45b3-a2c9-e680397261f0"	"2024-02-09T20:34:04+00:00"	"97.5"	"48252"	"18792"	"21384"	"15000"	"0.493"	"0.547"	"1.382"	"1.349"	"-5000"	"-5000"	"-47892"	"-43708"
"0ebd332c-1c65-4425-81fa-e6730d7b272f"	"2024-02-09T20:34:04+00:00"	"2.5"	"50124"	"25296"	"23732"	"15000"	"0.604"	"0.573"	"1.359"	"1.324"	"-5000"	"-5000"	"-42823"	"-42632"
"0ebd332c-1c65-4425-81fa-e6730d7b272f"	"2024-02-09T20:34:04+00:00"	"50"	"51168"	"23744"	"22896"	"15000"	"0.562"	"0.545"	"1.37"	"1.337"	"-5000"	"-5000"	"-46356"	"-45516"
"0ebd332c-1c65-4425-81fa-e6730d7b272f"	"2024-02-09T20:34:04+00:00"	"97.5"	"52212"	"22192"	"22060"	"15000"	"0.521"	"0.518"	"1.382"	"1.349"	"-5000"	"-5000"	"-49965"	"-48374"
"7e1d7d5a-e777-423c-822c-b7466ac2d7be"	"2024-02-09T20:34:04+00:00"	"2.5"	"48144"	"20432"	"21344"	"15000"	"0.528"	"0.547"	"1.359"	"1.324"	"-5000"	"-5000"	"-44996"	"-42399"
"7e1d7d5a-e777-423c-822c-b7466ac2d7be"	"2024-02-09T20:34:04+00:00"	"50"	"48656"	"19136"	"20416"	"15000"	"0.496"	"0.522"	"1.37"	"1.337"	"-5000"	"-5000"	"-47523"	"-44637"
"7e1d7d5a-e777-423c-822c-b7466ac2d7be"	"2024-02-09T20:34:04+00:00"	"97.5"	"49168"	"17840"	"19488"	"15000"	"0.465"	"0.498"	"1.382"	"1.349"	"-5000"	"-5000"	"-50110"	"-46840"
"c4082739-bbbe-4fa4-a53c-e5b62c162324"	"2024-02-09T20:34:05+00:00"	"2.5"	"48026"	"12528"	"21844"	"15000"	"0.365"	"0.559"	"1.359"	"1.324"	"-5000"	"-5000"	"-52739"	"-41742"
"c4082739-bbbe-4fa4-a53c-e5b62c162324"	"2024-02-09T20:34:05+00:00"	"50"	"48620"	"11096"	"20824"	"15000"	"0.331"	"0.531"	"1.37"	"1.337"	"-5000"	"-5000"	"-55513"	"-44181"
"c4082739-bbbe-4fa4-a53c-e5b62c162324"	"2024-02-09T20:34:05+00:00"	"97.5"	"49214"	"9664"	"19804"	"15000"	"0.298"	"0.504"	"1.382"	"1.349"	"-5000"	"-5000"	"-58350"	"-46586"
"95bc0b55-8e71-43b1-8192-4e08ecef0b5a"	"2024-02-09T20:34:05+00:00"	"2.5"	"46288"	"14480"	"22288"	"15000"	"0.421"	"0.59"	"1.359"	"1.324"	"-5000"	"-5000"	"-48425"	"-38997"
"95bc0b55-8e71-43b1-8192-4e08ecef0b5a"	"2024-02-09T20:34:05+00:00"	"50"	"47216"	"12816"	"20848"	"15000"	"0.377"	"0.547"	"1.37"	"1.337"	"-5000"	"-5000"	"-51870"	"-42280"
"95bc0b55-8e71-43b1-8192-4e08ecef0b5a"	"2024-02-09T20:34:05+00:00"	"97.5"	"48144"	"11152"	"19408"	"15000"	"0.335"	"0.507"	"1.382"	"1.349"	"-5000"	"-5000"	"-55383"	"-45538"
