"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"81f341ed-3e8f-49d4-98e2-e9d3f0bd6cff"	"2024-02-09T20:34:07+00:00"	"2.5"	"42328"	"29368"	"27912"	"15000"	"0.812"	"0.778"	"1.904"	"2.034"	"-5000"	"-5000"	"-51225"	"-58183"
"81f341ed-3e8f-49d4-98e2-e9d3f0bd6cff"	"2024-02-09T20:34:07+00:00"	"50"	"42912"	"28744"	"26360"	"15000"	"0.786"	"0.731"	"1.91"	"2.04"	"-5000"	"-5000"	"-53218"	"-61180"
"81f341ed-3e8f-49d4-98e2-e9d3f0bd6cff"	"2024-02-09T20:34:07+00:00"	"97.5"	"43496"	"28120"	"24808"	"15000"	"0.761"	"0.685"	"1.915"	"2.047"	"-5000"	"-5000"	"-55175"	"-64228"
"2380ac4e-9edc-4447-8186-5764cae0f388"	"2024-02-09T20:34:07+00:00"	"2.5"	"42028"	"13840"	"14416"	"15000"	"0.448"	"0.462"	"1.904"	"2.034"	"-5000"	"-5000"	"-66181"	"-71069"
"2380ac4e-9edc-4447-8186-5764cae0f388"	"2024-02-09T20:34:07+00:00"	"50"	"42640"	"13024"	"12928"	"15000"	"0.423"	"0.42"	"1.91"	"2.04"	"-5000"	"-5000"	"-68418"	"-74058"
"2380ac4e-9edc-4447-8186-5764cae0f388"	"2024-02-09T20:34:07+00:00"	"97.5"	"43252"	"12208"	"11440"	"15000"	"0.398"	"0.38"	"1.915"	"2.047"	"-5000"	"-5000"	"-70620"	"-77097"
"a7988293-85fa-409e-8398-df14c427441b"	"2024-02-09T20:34:07+00:00"	"2.5"	"50976"	"16372"	"18840"	"15000"	"0.419"	"0.468"	"1.904"	"2.034"	"-5000"	"-5000"	"-80686"	"-84845"
"a7988293-85fa-409e-8398-df14c427441b"	"2024-02-09T20:34:07+00:00"	"50"	"51472"	"15672"	"17312"	"15000"	"0.402"	"0.433"	"1.91"	"2.04"	"-5000"	"-5000"	"-82640"	"-87691"
"a7988293-85fa-409e-8398-df14c427441b"	"2024-02-09T20:34:07+00:00"	"97.5"	"51968"	"14972"	"15784"	"15000"	"0.384"	"0.4"	"1.915"	"2.047"	"-5000"	"-5000"	"-84547"	"-90594"
"466bc5ec-c78b-4bd4-bc55-c5c17b1e135e"	"2024-02-09T20:34:08+00:00"	"2.5"	"50918"	"19900"	"24142"	"15000"	"0.489"	"0.572"	"1.904"	"2.034"	"-5000"	"-5000"	"-77048"	"-79425"
"466bc5ec-c78b-4bd4-bc55-c5c17b1e135e"	"2024-02-09T20:34:08+00:00"	"50"	"51384"	"19152"	"23020"	"15000"	"0.47"	"0.545"	"1.91"	"2.04"	"-5000"	"-5000"	"-78991"	"-81803"
"466bc5ec-c78b-4bd4-bc55-c5c17b1e135e"	"2024-02-09T20:34:08+00:00"	"97.5"	"51850"	"18404"	"21898"	"15000"	"0.451"	"0.519"	"1.915"	"2.047"	"-5000"	"-5000"	"-80889"	"-84239"
"2159538b-16f7-4789-9bbf-7bc4e77ed75c"	"2024-02-09T20:34:08+00:00"	"2.5"	"49992"	"20228"	"24848"	"15000"	"0.505"	"0.597"	"1.904"	"2.034"	"-5000"	"-5000"	"-74957"	"-76836"
"2159538b-16f7-4789-9bbf-7bc4e77ed75c"	"2024-02-09T20:34:08+00:00"	"50"	"50472"	"19172"	"23384"	"15000"	"0.479"	"0.562"	"1.91"	"2.04"	"-5000"	"-5000"	"-77230"	"-79579"
"2159538b-16f7-4789-9bbf-7bc4e77ed75c"	"2024-02-09T20:34:08+00:00"	"97.5"	"50952"	"18116"	"21920"	"15000"	"0.454"	"0.528"	"1.915"	"2.047"	"-5000"	"-5000"	"-79457"	"-82379"
