"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"5784924a-304c-42ed-b87e-11d9444f4500"	"2024-01-31T00:47:13+00:00"	"2.5"	"42392"	"28984"	"27324"	"15000"	"0.802"	"0.763"	"1.64"	"1.637"	"-5000"	"-5000"	"-40539"	"-42072"
"5784924a-304c-42ed-b87e-11d9444f4500"	"2024-01-31T00:47:13+00:00"	"50"	"42904"	"28432"	"26432"	"15000"	"0.779"	"0.733"	"1.635"	"1.632"	"-5000"	"-5000"	"-41716"	"-43587"
"5784924a-304c-42ed-b87e-11d9444f4500"	"2024-01-31T00:47:13+00:00"	"97.5"	"43416"	"27880"	"25540"	"15000"	"0.757"	"0.703"	"1.63"	"1.627"	"-5000"	"-5000"	"-42888"	"-45098"
"5a8cefc2-dec4-4231-9564-4c35913bd886"	"2024-01-31T00:47:13+00:00"	"2.5"	"41296"	"26416"	"26016"	"15000"	"0.761"	"0.751"	"1.64"	"1.637"	"-5000"	"-5000"	"-41309"	"-41586"
"5a8cefc2-dec4-4231-9564-4c35913bd886"	"2024-01-31T00:47:13+00:00"	"50"	"42192"	"25728"	"24896"	"15000"	"0.728"	"0.709"	"1.635"	"1.632"	"-5000"	"-5000"	"-43256"	"-43961"
"5a8cefc2-dec4-4231-9564-4c35913bd886"	"2024-01-31T00:47:13+00:00"	"97.5"	"43088"	"25040"	"23776"	"15000"	"0.697"	"0.668"	"1.63"	"1.627"	"-5000"	"-5000"	"-45193"	"-46328"
"fb3c2d91-958e-4832-9091-7c1bff95e94d"	"2024-01-31T00:47:13+00:00"	"2.5"	"43564"	"28336"	"27072"	"15000"	"0.765"	"0.736"	"1.64"	"1.637"	"-5000"	"-5000"	"-43109"	"-44242"
"fb3c2d91-958e-4832-9091-7c1bff95e94d"	"2024-01-31T00:47:13+00:00"	"50"	"44000"	"27872"	"26176"	"15000"	"0.747"	"0.709"	"1.635"	"1.632"	"-5000"	"-5000"	"-44068"	"-45632"
"fb3c2d91-958e-4832-9091-7c1bff95e94d"	"2024-01-31T00:47:13+00:00"	"97.5"	"44436"	"27408"	"25280"	"15000"	"0.729"	"0.681"	"1.63"	"1.627"	"-5000"	"-5000"	"-45023"	"-47017"
"0f4417fa-7e99-48b8-8079-9f93775ef3c6"	"2024-01-31T00:47:13+00:00"	"2.5"	"51320"	"27940"	"26472"	"15000"	"0.642"	"0.613"	"1.64"	"1.637"	"-5000"	"-5000"	"-56225"	"-57539"
"0f4417fa-7e99-48b8-8079-9f93775ef3c6"	"2024-01-31T00:47:13+00:00"	"50"	"51768"	"27432"	"25544"	"15000"	"0.626"	"0.59"	"1.635"	"1.632"	"-5000"	"-5000"	"-57209"	"-58941"
"0f4417fa-7e99-48b8-8079-9f93775ef3c6"	"2024-01-31T00:47:13+00:00"	"97.5"	"52216"	"26924"	"24616"	"15000"	"0.611"	"0.567"	"1.63"	"1.627"	"-5000"	"-5000"	"-58188"	"-60339"
"a0de6ee8-6326-47b7-bba3-0a27ad4f06da"	"2024-01-31T00:47:14+00:00"	"2.5"	"43244"	"27772"	"26592"	"15000"	"0.758"	"0.731"	"1.64"	"1.637"	"-5000"	"-5000"	"-43148"	"-44198"
"a0de6ee8-6326-47b7-bba3-0a27ad4f06da"	"2024-01-31T00:47:14+00:00"	"50"	"43856"	"27184"	"25520"	"15000"	"0.734"	"0.696"	"1.635"	"1.632"	"-5000"	"-5000"	"-44521"	"-46053"
"a0de6ee8-6326-47b7-bba3-0a27ad4f06da"	"2024-01-31T00:47:14+00:00"	"97.5"	"44468"	"26596"	"24448"	"15000"	"0.711"	"0.662"	"1.63"	"1.627"	"-5000"	"-5000"	"-45887"	"-47901"
