"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"bfd16ff1-7579-471f-b00e-c4a8ba9251d3"	"2024-02-14T01:09:39+00:00"	"2.5"	"49952"	"52112"	"48256"	"15000"	"1.143"	"1.066"	"1.64"	"1.637"	"-5000"	"-5000"	"-29809"	"-33515"
"bfd16ff1-7579-471f-b00e-c4a8ba9251d3"	"2024-02-14T01:09:39+00:00"	"50"	"51248"	"49312"	"46064"	"15000"	"1.06"	"0.996"	"1.635"	"1.632"	"-5000"	"-5000"	"-34478"	"-37573"
"bfd16ff1-7579-471f-b00e-c4a8ba9251d3"	"2024-02-14T01:09:39+00:00"	"97.5"	"52544"	"46512"	"43872"	"15000"	"0.98"	"0.93"	"1.63"	"1.627"	"-5000"	"-5000"	"-39135"	"-41617"
"94b60e59-dbe5-41b7-954b-e0500baa0378"	"2024-02-14T01:09:39+00:00"	"2.5"	"45556"	"47280"	"49384"	"15000"	"1.148"	"1.194"	"1.64"	"1.637"	"-5000"	"-5000"	"-27432"	"-25191"
"94b60e59-dbe5-41b7-954b-e0500baa0378"	"2024-02-14T01:09:39+00:00"	"50"	"46624"	"44624"	"46136"	"15000"	"1.064"	"1.097"	"1.635"	"1.632"	"-5000"	"-5000"	"-31606"	"-29954"
"94b60e59-dbe5-41b7-954b-e0500baa0378"	"2024-02-14T01:09:39+00:00"	"97.5"	"47692"	"41968"	"42888"	"15000"	"0.985"	"1.004"	"1.63"	"1.627"	"-5000"	"-5000"	"-35770"	"-34707"
"30571834-60bf-4637-9cb2-4c2af1c9a5f1"	"2024-02-14T01:09:40+00:00"	"2.5"	"46638"	"46840"	"50384"	"15000"	"1.112"	"1.188"	"1.64"	"1.637"	"-5000"	"-5000"	"-29646"	"-25962"
"30571834-60bf-4637-9cb2-4c2af1c9a5f1"	"2024-02-14T01:09:40+00:00"	"50"	"47576"	"44456"	"47808"	"15000"	"1.04"	"1.11"	"1.635"	"1.632"	"-5000"	"-5000"	"-33331"	"-29836"
"30571834-60bf-4637-9cb2-4c2af1c9a5f1"	"2024-02-14T01:09:40+00:00"	"97.5"	"48514"	"42072"	"45232"	"15000"	"0.97"	"1.035"	"1.63"	"1.627"	"-5000"	"-5000"	"-37006"	"-33700"
"a0b40c0a-a0e1-40db-b3cf-76fda170ef53"	"2024-02-14T01:09:40+00:00"	"2.5"	"54944"	"42672"	"50328"	"15000"	"0.868"	"1.007"	"1.64"	"1.637"	"-5000"	"-5000"	"-47436"	"-39615"
"a0b40c0a-a0e1-40db-b3cf-76fda170ef53"	"2024-02-14T01:09:40+00:00"	"50"	"55456"	"41808"	"49376"	"15000"	"0.844"	"0.981"	"1.635"	"1.632"	"-5000"	"-5000"	"-48863"	"-41128"
"a0b40c0a-a0e1-40db-b3cf-76fda170ef53"	"2024-02-14T01:09:40+00:00"	"97.5"	"55968"	"40944"	"48424"	"15000"	"0.821"	"0.955"	"1.63"	"1.627"	"-5000"	"-5000"	"-50284"	"-42636"
"2155feca-23ce-470e-9a07-9543bd190a24"	"2024-02-14T01:09:40+00:00"	"2.5"	"54352"	"44080"	"50948"	"15000"	"0.903"	"1.029"	"1.64"	"1.637"	"-5000"	"-5000"	"-45057"	"-38026"
"2155feca-23ce-470e-9a07-9543bd190a24"	"2024-02-14T01:09:40+00:00"	"50"	"54832"	"43200"	"50080"	"15000"	"0.879"	"1.005"	"1.635"	"1.632"	"-5000"	"-5000"	"-46450"	"-39406"
"2155feca-23ce-470e-9a07-9543bd190a24"	"2024-02-14T01:09:40+00:00"	"97.5"	"55312"	"42320"	"49212"	"15000"	"0.856"	"0.98"	"1.63"	"1.627"	"-5000"	"-5000"	"-47839"	"-40781"
"29e7bac6-d312-49d2-b704-943747dd0b61"	"2024-02-14T01:09:40+00:00"	"2.5"	"54880"	"44952"	"51048"	"15000"	"0.91"	"1.021"	"1.64"	"1.637"	"-5000"	"-5000"	"-45051"	"-38791"
"29e7bac6-d312-49d2-b704-943747dd0b61"	"2024-02-14T01:09:40+00:00"	"50"	"55264"	"43504"	"50128"	"15000"	"0.878"	"0.998"	"1.635"	"1.632"	"-5000"	"-5000"	"-46853"	"-40063"
"29e7bac6-d312-49d2-b704-943747dd0b61"	"2024-02-14T01:09:40+00:00"	"97.5"	"55648"	"42056"	"49208"	"15000"	"0.846"	"0.974"	"1.63"	"1.627"	"-5000"	"-5000"	"-48650"	"-41331"
"d1533bf3-78dc-4625-8441-50bace36cb97"	"2024-02-14T01:09:40+00:00"	"2.5"	"53760"	"43024"	"49104"	"15000"	"0.893"	"1.006"	"1.64"	"1.637"	"-5000"	"-5000"	"-45142"	"-38901"
"d1533bf3-78dc-4625-8441-50bace36cb97"	"2024-02-14T01:09:40+00:00"	"50"	"54352"	"42128"	"48304"	"15000"	"0.867"	"0.981"	"1.635"	"1.632"	"-5000"	"-5000"	"-46738"	"-40398"
"d1533bf3-78dc-4625-8441-50bace36cb97"	"2024-02-14T01:09:40+00:00"	"97.5"	"54944"	"41232"	"47504"	"15000"	"0.841"	"0.956"	"1.63"	"1.627"	"-5000"	"-5000"	"-48327"	"-41890"
"1605858a-1bee-431d-8dbf-40824c609501"	"2024-02-14T01:09:41+00:00"	"2.5"	"53744"	"44428"	"51308"	"15000"	"0.92"	"1.048"	"1.64"	"1.637"	"-5000"	"-5000"	"-43712"	"-36671"
"1605858a-1bee-431d-8dbf-40824c609501"	"2024-02-14T01:09:41+00:00"	"50"	"54336"	"43488"	"50432"	"15000"	"0.892"	"1.02"	"1.635"	"1.632"	"-5000"	"-5000"	"-45351"	"-38244"
"1605858a-1bee-431d-8dbf-40824c609501"	"2024-02-14T01:09:41+00:00"	"97.5"	"54928"	"42548"	"49556"	"15000"	"0.866"	"0.993"	"1.63"	"1.627"	"-5000"	"-5000"	"-46985"	"-39812"
"256e97ef-37f8-4a57-9789-a177ee908fbe"	"2024-02-14T01:09:41+00:00"	"2.5"	"53576"	"43776"	"50624"	"15000"	"0.91"	"1.038"	"1.64"	"1.637"	"-5000"	"-5000"	"-44089"	"-37080"
