"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"5a6eedd2-8cd1-406f-8010-cf9a878f47db"	"2024-02-09T20:34:19+00:00"	"2.5"	"44556"	"28508"	"24444"	"15000"	"0.752"	"0.661"	"1.904"	"2.034"	"-5000"	"-5000"	"-56327"	"-66183"
"5a6eedd2-8cd1-406f-8010-cf9a878f47db"	"2024-02-09T20:34:19+00:00"	"50"	"45200"	"27744"	"23088"	"15000"	"0.724"	"0.621"	"1.91"	"2.04"	"-5000"	"-5000"	"-58588"	"-69120"
"5a6eedd2-8cd1-406f-8010-cf9a878f47db"	"2024-02-09T20:34:19+00:00"	"97.5"	"45844"	"26980"	"21732"	"15000"	"0.698"	"0.583"	"1.915"	"2.047"	"-5000"	"-5000"	"-60811"	"-72111"
"aca60b76-1902-4fbb-a895-4eb3a28401e5"	"2024-02-09T20:34:19+00:00"	"2.5"	"43784"	"59612"	"56712"	"15000"	"1.476"	"1.409"	"1.904"	"2.034"	"-5000"	"-5000"	"-23753"	"-32345"
"aca60b76-1902-4fbb-a895-4eb3a28401e5"	"2024-02-09T20:34:19+00:00"	"50"	"47864"	"54956"	"52400"	"15000"	"1.253"	"1.199"	"1.91"	"2.04"	"-5000"	"-5000"	"-36464"	"-45243"
"aca60b76-1902-4fbb-a895-4eb3a28401e5"	"2024-02-09T20:34:19+00:00"	"97.5"	"51944"	"50300"	"48088"	"15000"	"1.065"	"1.022"	"1.915"	"2.047"	"-5000"	"-5000"	"-49173"	"-58241"
"ad05c13b-fdae-42af-b9b0-ae1754b5f5bf"	"2024-02-09T20:34:19+00:00"	"2.5"	"44956"	"27424"	"24768"	"15000"	"0.721"	"0.662"	"1.904"	"2.034"	"-5000"	"-5000"	"-58172"	"-66673"
"ad05c13b-fdae-42af-b9b0-ae1754b5f5bf"	"2024-02-09T20:34:19+00:00"	"50"	"45520"	"26576"	"23616"	"15000"	"0.694"	"0.629"	"1.91"	"2.04"	"-5000"	"-5000"	"-60367"	"-69245"
"ad05c13b-fdae-42af-b9b0-ae1754b5f5bf"	"2024-02-09T20:34:19+00:00"	"97.5"	"46084"	"25728"	"22464"	"15000"	"0.667"	"0.596"	"1.915"	"2.047"	"-5000"	"-5000"	"-62523"	"-71870"
"4da16133-0b71-49e9-8dbb-2df9f8c3d443"	"2024-02-09T20:34:19+00:00"	"2.5"	"41344"	"23672"	"26108"	"15000"	"0.693"	"0.752"	"1.904"	"2.034"	"-5000"	"-5000"	"-55047"	"-57986"
"4da16133-0b71-49e9-8dbb-2df9f8c3d443"	"2024-02-09T20:34:19+00:00"	"50"	"42784"	"21728"	"24752"	"15000"	"0.625"	"0.695"	"1.91"	"2.04"	"-5000"	"-5000"	"-59989"	"-62527"
"4da16133-0b71-49e9-8dbb-2df9f8c3d443"	"2024-02-09T20:34:19+00:00"	"97.5"	"44224"	"19784"	"23396"	"15000"	"0.56"	"0.642"	"1.915"	"2.047"	"-5000"	"-5000"	"-64905"	"-67131"
"05fa3f7d-7817-4cc4-aed1-d3223ca6c07e"	"2024-02-09T20:34:20+00:00"	"2.5"	"43744"	"33676"	"26856"	"15000"	"0.884"	"0.728"	"1.904"	"2.034"	"-5000"	"-5000"	"-49613"	"-62119"
"05fa3f7d-7817-4cc4-aed1-d3223ca6c07e"	"2024-02-09T20:34:20+00:00"	"50"	"44376"	"32688"	"25836"	"15000"	"0.849"	"0.695"	"1.91"	"2.04"	"-5000"	"-5000"	"-52070"	"-64691"
"05fa3f7d-7817-4cc4-aed1-d3223ca6c07e"	"2024-02-09T20:34:20+00:00"	"97.5"	"45008"	"31700"	"24816"	"15000"	"0.815"	"0.662"	"1.915"	"2.047"	"-5000"	"-5000"	"-54490"	"-67315"
"0d9f34fa-5d80-48b7-9ad0-0180f45d341e"	"2024-02-09T20:34:20+00:00"	"2.5"	"38116"	"29728"	"23296"	"15000"	"0.911"	"0.742"	"1.904"	"2.034"	"-5000"	"-5000"	"-42845"	"-54232"
"0d9f34fa-5d80-48b7-9ad0-0180f45d341e"	"2024-02-09T20:34:20+00:00"	"50"	"39352"	"27824"	"21664"	"15000"	"0.834"	"0.678"	"1.91"	"2.04"	"-5000"	"-5000"	"-47338"	"-58614"
"0d9f34fa-5d80-48b7-9ad0-0180f45d341e"	"2024-02-09T20:34:20+00:00"	"97.5"	"40588"	"25920"	"20032"	"15000"	"0.762"	"0.617"	"1.915"	"2.047"	"-5000"	"-5000"	"-51806"	"-63052"
