"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"a203dadd-ec6e-4545-bf48-881d8a7d55f9"	"2024-01-30T00:52:43+00:00"	"2.5"	"55744"	"41808"	"42408"	"15000"	"0.84"	"0.85"	"1.64"	"1.637"	"-5000"	"-5000"	"-49612"	"-48845"
"a203dadd-ec6e-4545-bf48-881d8a7d55f9"	"2024-01-30T00:52:43+00:00"	"50"	"56728"	"40840"	"40920"	"15000"	"0.808"	"0.809"	"1.635"	"1.632"	"-5000"	"-5000"	"-51910"	"-51660"
"a203dadd-ec6e-4545-bf48-881d8a7d55f9"	"2024-01-30T00:52:43+00:00"	"97.5"	"57712"	"39872"	"39432"	"15000"	"0.778"	"0.77"	"1.63"	"1.627"	"-5000"	"-5000"	"-54199"	"-54465"
"e7738a4c-6845-4a5e-b0c7-e6bc46159797"	"2024-01-30T00:52:43+00:00"	"2.5"	"57520"	"42124"	"40256"	"15000"	"0.819"	"0.787"	"1.64"	"1.637"	"-5000"	"-5000"	"-52209"	"-53904"
"e7738a4c-6845-4a5e-b0c7-e6bc46159797"	"2024-01-30T00:52:43+00:00"	"50"	"57888"	"41216"	"39440"	"15000"	"0.798"	"0.768"	"1.635"	"1.632"	"-5000"	"-5000"	"-53431"	"-55033"
"e7738a4c-6845-4a5e-b0c7-e6bc46159797"	"2024-01-30T00:52:43+00:00"	"97.5"	"58256"	"40308"	"38624"	"15000"	"0.778"	"0.749"	"1.63"	"1.627"	"-5000"	"-5000"	"-54649"	"-56159"
"e210d2cc-f0e6-4067-bbf6-bae89e77ee09"	"2024-01-30T00:52:44+00:00"	"2.5"	"57608"	"41880"	"40368"	"15000"	"0.814"	"0.788"	"1.64"	"1.637"	"-5000"	"-5000"	"-52597"	"-53936"
"e210d2cc-f0e6-4067-bbf6-bae89e77ee09"	"2024-01-30T00:52:44+00:00"	"50"	"58080"	"41064"	"39336"	"15000"	"0.793"	"0.763"	"1.635"	"1.632"	"-5000"	"-5000"	"-53897"	"-55451"
"e210d2cc-f0e6-4067-bbf6-bae89e77ee09"	"2024-01-30T00:52:44+00:00"	"97.5"	"58552"	"40248"	"38304"	"15000"	"0.773"	"0.74"	"1.63"	"1.627"	"-5000"	"-5000"	"-55192"	"-56960"
"24c48ac5-b9d2-44bf-ab59-30a551760db0"	"2024-01-30T00:52:44+00:00"	"2.5"	"57376"	"42542"	"43632"	"15000"	"0.829"	"0.848"	"1.64"	"1.637"	"-5000"	"-5000"	"-51555"	"-50293"
