"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"0b9786f2-2738-4177-931b-d8e83ee66312"	"2024-02-09T20:34:28+00:00"	"2.5"	"38222"	"20778"	"23666"	"15000"	"0.674"	"0.75"	"1.64"	"1.637"	"-5000"	"-5000"	"-41906"	"-38903"
"0b9786f2-2738-4177-931b-d8e83ee66312"	"2024-02-09T20:34:28+00:00"	"50"	"39848"	"18280"	"21980"	"15000"	"0.584"	"0.677"	"1.635"	"1.632"	"-5000"	"-5000"	"-46871"	"-43052"
"0b9786f2-2738-4177-931b-d8e83ee66312"	"2024-02-09T20:34:28+00:00"	"97.5"	"41474"	"15782"	"20294"	"15000"	"0.501"	"0.61"	"1.63"	"1.627"	"-5000"	"-5000"	"-51821"	"-47184"
"c598261e-6074-4b0f-a71a-3ee7dfe8f1ac"	"2024-02-09T20:34:29+00:00"	"2.5"	"37692"	"25728"	"26448"	"15000"	"0.815"	"0.834"	"1.64"	"1.637"	"-5000"	"-5000"	"-36087"	"-35254"
"c598261e-6074-4b0f-a71a-3ee7dfe8f1ac"	"2024-02-09T20:34:29+00:00"	"50"	"40240"	"22720"	"24560"	"15000"	"0.689"	"0.735"	"1.635"	"1.632"	"-5000"	"-5000"	"-43072"	"-41112"
"c598261e-6074-4b0f-a71a-3ee7dfe8f1ac"	"2024-02-09T20:34:29+00:00"	"97.5"	"42788"	"19712"	"22672"	"15000"	"0.578"	"0.647"	"1.63"	"1.627"	"-5000"	"-5000"	"-50032"	"-46944"
"5ca49106-1a76-4dec-80cb-47a1d03d2c02"	"2024-02-09T20:34:29+00:00"	"2.5"	"35900"	"35360"	"40464"	"15000"	"1.124"	"1.266"	"1.64"	"1.637"	"-5000"	"-5000"	"-23516"	"-18304"
"5ca49106-1a76-4dec-80cb-47a1d03d2c02"	"2024-02-09T20:34:29+00:00"	"50"	"37168"	"30896"	"36672"	"15000"	"0.966"	"1.121"	"1.635"	"1.632"	"-5000"	"-5000"	"-29874"	"-23986"
"5ca49106-1a76-4dec-80cb-47a1d03d2c02"	"2024-02-09T20:34:29+00:00"	"97.5"	"38436"	"26432"	"32880"	"15000"	"0.818"	"0.986"	"1.63"	"1.627"	"-5000"	"-5000"	"-36219"	"-29655"
"17e2c943-8019-4ca8-b264-9ca7588a931b"	"2024-02-09T20:34:29+00:00"	"2.5"	"35652"	"28376"	"23184"	"15000"	"0.936"	"0.791"	"1.64"	"1.637"	"-5000"	"-5000"	"-30093"	"-35178"
"17e2c943-8019-4ca8-b264-9ca7588a931b"	"2024-02-09T20:34:29+00:00"	"50"	"36688"	"24072"	"21424"	"15000"	"0.792"	"0.72"	"1.635"	"1.632"	"-5000"	"-5000"	"-35913"	"-38451"
"17e2c943-8019-4ca8-b264-9ca7588a931b"	"2024-02-09T20:34:29+00:00"	"97.5"	"37724"	"19768"	"19664"	"15000"	"0.657"	"0.654"	"1.63"	"1.627"	"-5000"	"-5000"	"-41722"	"-41713"
"76d4886a-43e4-4613-a3ae-e0191a26d20b"	"2024-02-09T20:34:30+00:00"	"2.5"	"52852"	"37000"	"42252"	"15000"	"0.795"	"0.894"	"1.64"	"1.637"	"-5000"	"-5000"	"-49677"	"-44267"
"76d4886a-43e4-4613-a3ae-e0191a26d20b"	"2024-02-09T20:34:30+00:00"	"50"	"53816"	"35592"	"41456"	"15000"	"0.754"	"0.863"	"1.635"	"1.632"	"-5000"	"-5000"	"-52397"	"-46372"
"76d4886a-43e4-4613-a3ae-e0191a26d20b"	"2024-02-09T20:34:30+00:00"	"97.5"	"54780"	"34184"	"40660"	"15000"	"0.715"	"0.834"	"1.63"	"1.627"	"-5000"	"-5000"	"-55107"	"-48467"
