"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"4baca0f8-c5b3-4adc-aa6f-ac6eb3c5ec95"	"2024-01-30T19:19:43+00:00"	"2.5"	"38448"	"13456"	"1456"	"15000"	"0.48"	"0.168"	"1.64"	"1.637"	"-5000"	"-5000"	"-49599"	"-61483"
"4baca0f8-c5b3-4adc-aa6f-ac6eb3c5ec95"	"2024-01-30T19:19:43+00:00"	"50"	"39416"	"11296"	"560"	"15000"	"0.413"	"0.141"	"1.635"	"1.632"	"-5000"	"-5000"	"-53149"	"-63767"
"4baca0f8-c5b3-4adc-aa6f-ac6eb3c5ec95"	"2024-01-30T19:19:43+00:00"	"97.5"	"40384"	"9136"	"0"	"15000"	"0.35"	"0.124"	"1.63"	"1.627"	"-5000"	"-5000"	"-56690"	"-65705"
"184e194b-de68-4bee-9806-e3652bed3fe1"	"2024-01-30T19:19:43+00:00"	"2.5"	"38310"	"20800"	"13988"	"15000"	"0.673"	"0.496"	"1.64"	"1.637"	"-5000"	"-5000"	"-42028"	"-48725"
"184e194b-de68-4bee-9806-e3652bed3fe1"	"2024-01-30T19:19:43+00:00"	"50"	"39336"	"17812"	"9128"	"15000"	"0.58"	"0.359"	"1.635"	"1.632"	"-5000"	"-5000"	"-46502"	"-55068"
"184e194b-de68-4bee-9806-e3652bed3fe1"	"2024-01-30T19:19:43+00:00"	"97.5"	"40362"	"14824"	"4268"	"15000"	"0.491"	"0.23"	"1.63"	"1.627"	"-5000"	"-5000"	"-50966"	"-61401"
"f139831c-8216-481c-bfc1-916596f04952"	"2024-01-30T19:19:43+00:00"	"2.5"	"40420"	"14904"	"11230"	"15000"	"0.492"	"0.402"	"1.64"	"1.637"	"-5000"	"-5000"	"-51385"	"-54938"
"f139831c-8216-481c-bfc1-916596f04952"	"2024-01-30T19:19:43+00:00"	"50"	"42728"	"12656"	"8008"	"15000"	"0.413"	"0.304"	"1.635"	"1.632"	"-5000"	"-5000"	"-57204"	"-61724"
"f139831c-8216-481c-bfc1-916596f04952"	"2024-01-30T19:19:43+00:00"	"97.5"	"45036"	"10408"	"4786"	"15000"	"0.342"	"0.217"	"1.63"	"1.627"	"-5000"	"-5000"	"-63001"	"-68488"
"492ef60d-5d5b-48ba-a124-ccb6a61359df"	"2024-01-30T19:19:44+00:00"	"2.5"	"36996"	"7512"	"3788"	"15000"	"0.338"	"0.238"	"1.64"	"1.637"	"-5000"	"-5000"	"-53161"	"-56774"
"492ef60d-5d5b-48ba-a124-ccb6a61359df"	"2024-01-30T19:19:44+00:00"	"50"	"37784"	"6368"	"2336"	"15000"	"0.301"	"0.194"	"1.635"	"1.632"	"-5000"	"-5000"	"-55409"	"-59327"
"492ef60d-5d5b-48ba-a124-ccb6a61359df"	"2024-01-30T19:19:44+00:00"	"97.5"	"38572"	"5224"	"884"	"15000"	"0.265"	"0.153"	"1.63"	"1.627"	"-5000"	"-5000"	"-57648"	"-61873"
