"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"8bda73fa-c633-435d-9319-0b302969c3fe"	"2024-01-31T19:01:00+00:00"	"2.5"	"41818"	"28640"	"26216"	"15000"	"0.804"	"0.746"	"1.359"	"1.324"	"-5000"	"-5000"	"-28191"	"-29151"
"8bda73fa-c633-435d-9319-0b302969c3fe"	"2024-01-31T19:01:00+00:00"	"50"	"42536"	"26840"	"25072"	"15000"	"0.749"	"0.707"	"1.37"	"1.337"	"-5000"	"-5000"	"-31434"	"-31799"
"8bda73fa-c633-435d-9319-0b302969c3fe"	"2024-01-31T19:01:00+00:00"	"97.5"	"43254"	"25040"	"23928"	"15000"	"0.695"	"0.669"	"1.382"	"1.349"	"-5000"	"-5000"	"-34737"	"-34422"
"01e66efa-3a1d-4122-bf48-af21011f1823"	"2024-01-31T19:01:01+00:00"	"2.5"	"42122"	"27096"	"25858"	"15000"	"0.762"	"0.733"	"1.359"	"1.324"	"-5000"	"-5000"	"-30148"	"-29912"
"01e66efa-3a1d-4122-bf48-af21011f1823"	"2024-01-31T19:01:01+00:00"	"50"	"42516"	"25976"	"25052"	"15000"	"0.729"	"0.707"	"1.37"	"1.337"	"-5000"	"-5000"	"-32271"	"-31792"
"01e66efa-3a1d-4122-bf48-af21011f1823"	"2024-01-31T19:01:01+00:00"	"97.5"	"42910"	"24856"	"24246"	"15000"	"0.696"	"0.682"	"1.382"	"1.349"	"-5000"	"-5000"	"-34446"	"-33640"
"74e0557e-c659-476a-aa22-ee56f26d72ed"	"2024-01-31T19:01:01+00:00"	"2.5"	"46784"	"29152"	"29664"	"15000"	"0.73"	"0.741"	"1.359"	"1.324"	"-5000"	"-5000"	"-34427"	"-32278"
"74e0557e-c659-476a-aa22-ee56f26d72ed"	"2024-01-31T19:01:01+00:00"	"50"	"47520"	"28080"	"28384"	"15000"	"0.696"	"0.703"	"1.37"	"1.337"	"-5000"	"-5000"	"-37022"	"-35150"
"74e0557e-c659-476a-aa22-ee56f26d72ed"	"2024-01-31T19:01:01+00:00"	"97.5"	"48256"	"27008"	"27104"	"15000"	"0.663"	"0.665"	"1.382"	"1.349"	"-5000"	"-5000"	"-39682"	"-37993"
"8bae6217-7e32-4f21-b6df-4fbda0ebb48a"	"2024-01-31T19:01:01+00:00"	"2.5"	"43612"	"26872"	"26704"	"15000"	"0.731"	"0.727"	"1.359"	"1.324"	"-5000"	"-5000"	"-32397"	"-31038"
"8bae6217-7e32-4f21-b6df-4fbda0ebb48a"	"2024-01-31T19:01:01+00:00"	"50"	"44064"	"25672"	"25616"	"15000"	"0.696"	"0.695"	"1.37"	"1.337"	"-5000"	"-5000"	"-34696"	"-33298"
"8bae6217-7e32-4f21-b6df-4fbda0ebb48a"	"2024-01-31T19:01:01+00:00"	"97.5"	"44516"	"24472"	"24528"	"15000"	"0.662"	"0.663"	"1.382"	"1.349"	"-5000"	"-5000"	"-37049"	"-35524"
"82c6abf7-5102-454c-bc2b-04e342bd3f8c"	"2024-01-31T19:01:01+00:00"	"2.5"	"42244"	"24488"	"24676"	"15000"	"0.698"	"0.702"	"1.359"	"1.324"	"-5000"	"-5000"	"-32922"	"-31255"
"82c6abf7-5102-454c-bc2b-04e342bd3f8c"	"2024-01-31T19:01:01+00:00"	"50"	"42784"	"23536"	"23472"	"15000"	"0.667"	"0.665"	"1.37"	"1.337"	"-5000"	"-5000"	"-35078"	"-33730"
"82c6abf7-5102-454c-bc2b-04e342bd3f8c"	"2024-01-31T19:01:01+00:00"	"97.5"	"43324"	"22584"	"22268"	"15000"	"0.637"	"0.629"	"1.382"	"1.349"	"-5000"	"-5000"	"-37290"	"-36176"
"08fb35ee-9beb-43fd-a1a3-2a2d31111df3"	"2024-01-31T19:01:01+00:00"	"2.5"	"42328"	"26608"	"25904"	"15000"	"0.747"	"0.73"	"1.359"	"1.324"	"-5000"	"-5000"	"-30916"	"-30138"
"08fb35ee-9beb-43fd-a1a3-2a2d31111df3"	"2024-01-31T19:01:01+00:00"	"50"	"42888"	"25696"	"24592"	"15000"	"0.716"	"0.69"	"1.37"	"1.337"	"-5000"	"-5000"	"-33061"	"-32749"
"08fb35ee-9beb-43fd-a1a3-2a2d31111df3"	"2024-01-31T19:01:01+00:00"	"97.5"	"43448"	"24784"	"23280"	"15000"	"0.686"	"0.651"	"1.382"	"1.349"	"-5000"	"-5000"	"-35261"	"-35331"
