"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"4022ab7d-b815-4ff0-b70f-cc9368cbfa10"	"2024-02-09T20:34:35+00:00"	"2.5"	"49312"	"30496"	"35368"	"15000"	"0.72"	"0.819"	"1.64"	"1.637"	"-5000"	"-5000"	"-50376"	"-45356"
"4022ab7d-b815-4ff0-b70f-cc9368cbfa10"	"2024-02-09T20:34:35+00:00"	"50"	"50144"	"29376"	"34184"	"15000"	"0.686"	"0.781"	"1.635"	"1.632"	"-5000"	"-5000"	"-52609"	"-47651"
"4022ab7d-b815-4ff0-b70f-cc9368cbfa10"	"2024-02-09T20:34:35+00:00"	"97.5"	"50976"	"28256"	"33000"	"15000"	"0.652"	"0.745"	"1.63"	"1.627"	"-5000"	"-5000"	"-54835"	"-49938"
"949dfaaa-ed88-4a32-af20-5d2dc469e12f"	"2024-02-09T20:34:35+00:00"	"2.5"	"52192"	"30976"	"37328"	"15000"	"0.689"	"0.811"	"1.64"	"1.637"	"-5000"	"-5000"	"-54619"	"-48110"
"949dfaaa-ed88-4a32-af20-5d2dc469e12f"	"2024-02-09T20:34:35+00:00"	"50"	"52624"	"30032"	"36704"	"15000"	"0.666"	"0.792"	"1.635"	"1.632"	"-5000"	"-5000"	"-56008"	"-49178"
"949dfaaa-ed88-4a32-af20-5d2dc469e12f"	"2024-02-09T20:34:35+00:00"	"97.5"	"53056"	"29088"	"36080"	"15000"	"0.642"	"0.774"	"1.63"	"1.627"	"-5000"	"-5000"	"-57393"	"-50242"
"cf1ef476-bcd8-4a5b-b4c0-f2d1d905ee33"	"2024-02-09T20:34:35+00:00"	"2.5"	"55160"	"30592"	"36444"	"15000"	"0.645"	"0.751"	"1.64"	"1.637"	"-5000"	"-5000"	"-59870"	"-53853"
"cf1ef476-bcd8-4a5b-b4c0-f2d1d905ee33"	"2024-02-09T20:34:35+00:00"	"50"	"55864"	"29696"	"35712"	"15000"	"0.621"	"0.729"	"1.635"	"1.632"	"-5000"	"-5000"	"-61642"	"-55458"
"cf1ef476-bcd8-4a5b-b4c0-f2d1d905ee33"	"2024-02-09T20:34:35+00:00"	"97.5"	"56568"	"28800"	"34980"	"15000"	"0.598"	"0.707"	"1.63"	"1.627"	"-5000"	"-5000"	"-63406"	"-57056"
"f6b74ce4-5075-4af0-8830-87adfc143ddc"	"2024-02-09T20:34:36+00:00"	"2.5"	"54704"	"32032"	"37544"	"15000"	"0.677"	"0.778"	"1.64"	"1.637"	"-5000"	"-5000"	"-57683"	"-52006"
