"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"33e4427d-db6e-4a77-879a-1c558882fee7"	"2024-02-01T18:50:11+00:00"	"2.5"	"52860"	"46440"	"39640"	"15000"	"0.973"	"0.844"	"1.64"	"1.637"	"-5000"	"-5000"	"-40250"	"-46892"
"33e4427d-db6e-4a77-879a-1c558882fee7"	"2024-02-01T18:50:11+00:00"	"50"	"53444"	"42008"	"35336"	"15000"	"0.88"	"0.755"	"1.635"	"1.632"	"-5000"	"-5000"	"-45373"	"-51885"
"33e4427d-db6e-4a77-879a-1c558882fee7"	"2024-02-01T18:50:11+00:00"	"97.5"	"54028"	"37576"	"31032"	"15000"	"0.788"	"0.667"	"1.63"	"1.627"	"-5000"	"-5000"	"-50490"	"-56872"
"58343969-52c9-4605-8dcb-f0150ec33791"	"2024-02-01T18:50:12+00:00"	"2.5"	"54032"	"59296"	"62352"	"15000"	"1.19"	"1.247"	"1.64"	"1.637"	"-5000"	"-5000"	"-29316"	"-26098"
"58343969-52c9-4605-8dcb-f0150ec33791"	"2024-02-01T18:50:12+00:00"	"50"	"54528"	"56032"	"58624"	"15000"	"1.119"	"1.167"	"1.635"	"1.632"	"-5000"	"-5000"	"-33121"	"-30366"
"58343969-52c9-4605-8dcb-f0150ec33791"	"2024-02-01T18:50:12+00:00"	"97.5"	"55024"	"52768"	"54896"	"15000"	"1.05"	"1.089"	"1.63"	"1.627"	"-5000"	"-5000"	"-36921"	"-34628"
"ff68b18e-b967-4aa9-b6d5-e1bf6a2cc50f"	"2024-02-01T18:50:12+00:00"	"2.5"	"53632"	"28368"	"34224"	"15000"	"0.622"	"0.731"	"1.64"	"1.637"	"-5000"	"-5000"	"-59588"	"-53572"
"ff68b18e-b967-4aa9-b6d5-e1bf6a2cc50f"	"2024-02-01T18:50:12+00:00"	"50"	"54096"	"26944"	"33248"	"15000"	"0.591"	"0.707"	"1.635"	"1.632"	"-5000"	"-5000"	"-61503"	"-55037"
"ff68b18e-b967-4aa9-b6d5-e1bf6a2cc50f"	"2024-02-01T18:50:12+00:00"	"97.5"	"54560"	"25520"	"32272"	"15000"	"0.559"	"0.683"	"1.63"	"1.627"	"-5000"	"-5000"	"-63413"	"-56497"
"b8d13b04-e64a-487d-9178-f74032a41706"	"2024-02-01T18:50:12+00:00"	"2.5"	"39548"	"23168"	"21364"	"15000"	"0.712"	"0.667"	"1.64"	"1.637"	"-5000"	"-5000"	"-41691"	"-43376"
"b8d13b04-e64a-487d-9178-f74032a41706"	"2024-02-01T18:50:12+00:00"	"50"	"41392"	"19056"	"17896"	"15000"	"0.581"	"0.553"	"1.635"	"1.632"	"-5000"	"-5000"	"-48620"	"-49656"
"b8d13b04-e64a-487d-9178-f74032a41706"	"2024-02-01T18:50:12+00:00"	"97.5"	"43236"	"14944"	"14428"	"15000"	"0.461"	"0.449"	"1.63"	"1.627"	"-5000"	"-5000"	"-55531"	"-55917"
"ed088344-e52d-47fb-9a27-a7dbe75b4c9e"	"2024-02-01T18:50:13+00:00"	"2.5"	"47632"	"29504"	"31616"	"15000"	"0.724"	"0.769"	"1.64"	"1.637"	"-5000"	"-5000"	"-48612"	"-46358"
"ed088344-e52d-47fb-9a27-a7dbe75b4c9e"	"2024-02-01T18:50:13+00:00"	"50"	"49520"	"23960"	"26192"	"15000"	"0.585"	"0.63"	"1.635"	"1.632"	"-5000"	"-5000"	"-57005"	"-54625"
"ed088344-e52d-47fb-9a27-a7dbe75b4c9e"	"2024-02-01T18:50:13+00:00"	"97.5"	"51408"	"18416"	"20768"	"15000"	"0.455"	"0.501"	"1.63"	"1.627"	"-5000"	"-5000"	"-65379"	"-62873"
"f0833159-b211-4074-a1eb-c621663f8886"	"2024-02-01T18:50:13+00:00"	"2.5"	"53144"	"35024"	"34896"	"15000"	"0.753"	"0.751"	"1.64"	"1.637"	"-5000"	"-5000"	"-52132"	"-52101"
