"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"bf1b2221-7e74-422b-ae82-1ce1c27253d0"	"2024-02-01T00:56:31+00:00"	"2.5"	"52784"	"38448"	"42360"	"15000"	"0.823"	"0.897"	"1.904"	"2.034"	"-5000"	"-5000"	"-62053"	"-65003"
"bf1b2221-7e74-422b-ae82-1ce1c27253d0"	"2024-02-01T00:56:31+00:00"	"50"	"53136"	"37936"	"40208"	"15000"	"0.808"	"0.851"	"1.91"	"2.04"	"-5000"	"-5000"	"-63554"	"-68189"
"bf1b2221-7e74-422b-ae82-1ce1c27253d0"	"2024-02-01T00:56:31+00:00"	"97.5"	"53488"	"37424"	"38056"	"15000"	"0.793"	"0.805"	"1.915"	"2.047"	"-5000"	"-5000"	"-65006"	"-71434"
"66af369d-835e-4800-8d22-4ce07ab12fb4"	"2024-02-01T00:56:31+00:00"	"2.5"	"38444"	"23720"	"35288"	"15000"	"0.747"	"1.048"	"1.904"	"2.034"	"-5000"	"-5000"	"-49477"	"-42907"
"66af369d-835e-4800-8d22-4ce07ab12fb4"	"2024-02-01T00:56:31+00:00"	"50"	"39432"	"21376"	"32232"	"15000"	"0.669"	"0.944"	"1.91"	"2.04"	"-5000"	"-5000"	"-53939"	"-48209"
"66af369d-835e-4800-8d22-4ce07ab12fb4"	"2024-02-01T00:56:31+00:00"	"97.5"	"40420"	"19032"	"29176"	"15000"	"0.595"	"0.846"	"1.915"	"2.047"	"-5000"	"-5000"	"-58372"	"-53564"
"a44760ce-9416-4197-8eca-b49c6dd5a8f1"	"2024-02-01T00:56:32+00:00"	"2.5"	"52400"	"43828"	"50504"	"15000"	"0.932"	"1.059"	"1.904"	"2.034"	"-5000"	"-5000"	"-55942"	"-56078"
"a44760ce-9416-4197-8eca-b49c6dd5a8f1"	"2024-02-01T00:56:32+00:00"	"50"	"53000"	"41624"	"48336"	"15000"	"0.88"	"1.006"	"1.91"	"2.04"	"-5000"	"-5000"	"-59606"	"-59784"
"a44760ce-9416-4197-8eca-b49c6dd5a8f1"	"2024-02-01T00:56:32+00:00"	"97.5"	"53600"	"39420"	"46168"	"15000"	"0.829"	"0.955"	"1.915"	"2.047"	"-5000"	"-5000"	"-63224"	"-63551"
"6590dfe8-8c86-4e5f-bbe6-938281c3fa48"	"2024-02-01T00:56:32+00:00"	"2.5"	"51504"	"31936"	"38144"	"15000"	"0.717"	"0.838"	"1.904"	"2.034"	"-5000"	"-5000"	"-66128"	"-66615"
"6590dfe8-8c86-4e5f-bbe6-938281c3fa48"	"2024-02-01T00:56:32+00:00"	"50"	"52288"	"30112"	"35792"	"15000"	"0.672"	"0.78"	"1.91"	"2.04"	"-5000"	"-5000"	"-69758"	"-70876"
"6590dfe8-8c86-4e5f-bbe6-938281c3fa48"	"2024-02-01T00:56:32+00:00"	"97.5"	"53072"	"28288"	"33440"	"15000"	"0.627"	"0.724"	"1.915"	"2.047"	"-5000"	"-5000"	"-73345"	"-75198"
"19407ae6-b552-44a7-acab-c526f721c203"	"2024-02-01T00:56:32+00:00"	"2.5"	"51740"	"27776"	"33328"	"15000"	"0.633"	"0.741"	"1.904"	"2.034"	"-5000"	"-5000"	"-70737"	"-71911"
"19407ae6-b552-44a7-acab-c526f721c203"	"2024-02-01T00:56:32+00:00"	"50"	"52432"	"26640"	"30112"	"15000"	"0.603"	"0.67"	"1.91"	"2.04"	"-5000"	"-5000"	"-73505"	"-76849"
"19407ae6-b552-44a7-acab-c526f721c203"	"2024-02-01T00:56:32+00:00"	"97.5"	"53124"	"25504"	"26896"	"15000"	"0.574"	"0.6"	"1.915"	"2.047"	"-5000"	"-5000"	"-76228"	"-81849"
