"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"2ff57628-ee88-479c-805f-527e44439677"	"2024-01-29T22:15:57+00:00"	"2.5"	"51392"	"31792"	"30976"	"15000"	"0.716"	"0.7"	"1.64"	"1.637"	"-5000"	"-5000"	"-52491"	"-53153"
"2ff57628-ee88-479c-805f-527e44439677"	"2024-01-29T22:15:57+00:00"	"50"	"51936"	"31184"	"29920"	"15000"	"0.697"	"0.672"	"1.635"	"1.632"	"-5000"	"-5000"	"-53731"	"-54840"
"2ff57628-ee88-479c-805f-527e44439677"	"2024-01-29T22:15:57+00:00"	"97.5"	"52480"	"30576"	"28864"	"15000"	"0.678"	"0.645"	"1.63"	"1.627"	"-5000"	"-5000"	"-54966"	"-56521"
"9e44f090-ea53-4905-8b45-93a6262a2ac3"	"2024-01-29T22:15:58+00:00"	"2.5"	"49568"	"29412"	"29408"	"15000"	"0.694"	"0.694"	"1.64"	"1.637"	"-5000"	"-5000"	"-51880"	"-51735"
"9e44f090-ea53-4905-8b45-93a6262a2ac3"	"2024-01-29T22:15:58+00:00"	"50"	"50368"	"28748"	"28176"	"15000"	"0.67"	"0.659"	"1.635"	"1.632"	"-5000"	"-5000"	"-53604"	"-54025"
"9e44f090-ea53-4905-8b45-93a6262a2ac3"	"2024-01-29T22:15:58+00:00"	"97.5"	"51168"	"28084"	"26944"	"15000"	"0.647"	"0.624"	"1.63"	"1.627"	"-5000"	"-5000"	"-55320"	"-56306"
"09483c0d-cefa-4ae6-ae01-f54e3705b17c"	"2024-01-29T22:15:58+00:00"	"2.5"	"49392"	"28672"	"29136"	"15000"	"0.682"	"0.691"	"1.64"	"1.637"	"-5000"	"-5000"	"-52331"	"-51719"
"09483c0d-cefa-4ae6-ae01-f54e3705b17c"	"2024-01-29T22:15:58+00:00"	"50"	"50176"	"28224"	"27680"	"15000"	"0.662"	"0.651"	"1.635"	"1.632"	"-5000"	"-5000"	"-53814"	"-54207"
"09483c0d-cefa-4ae6-ae01-f54e3705b17c"	"2024-01-29T22:15:58+00:00"	"97.5"	"50960"	"27776"	"26224"	"15000"	"0.643"	"0.613"	"1.63"	"1.627"	"-5000"	"-5000"	"-55289"	"-56688"
"06e136af-615f-4876-a1c3-8e45e437e05f"	"2024-01-29T22:15:58+00:00"	"2.5"	"51966"	"31368"	"32732"	"15000"	"0.7"	"0.726"	"1.64"	"1.637"	"-5000"	"-5000"	"-53856"	"-52336"
"06e136af-615f-4876-a1c3-8e45e437e05f"	"2024-01-29T22:15:58+00:00"	"50"	"52424"	"30632"	"31388"	"15000"	"0.68"	"0.694"	"1.635"	"1.632"	"-5000"	"-5000"	"-55081"	"-54168"
"06e136af-615f-4876-a1c3-8e45e437e05f"	"2024-01-29T22:15:58+00:00"	"97.5"	"52882"	"29896"	"30044"	"15000"	"0.66"	"0.663"	"1.63"	"1.627"	"-5000"	"-5000"	"-56302"	"-55995"
"a9f081dd-2d8b-4a42-b440-b825b7c1b9a8"	"2024-01-29T22:15:59+00:00"	"2.5"	"51968"	"33328"	"32608"	"15000"	"0.738"	"0.724"	"1.64"	"1.637"	"-5000"	"-5000"	"-51900"	"-52464"
"a9f081dd-2d8b-4a42-b440-b825b7c1b9a8"	"2024-01-29T22:15:59+00:00"	"50"	"52400"	"32400"	"31376"	"15000"	"0.714"	"0.694"	"1.635"	"1.632"	"-5000"	"-5000"	"-53274"	"-54141"
"a9f081dd-2d8b-4a42-b440-b825b7c1b9a8"	"2024-01-29T22:15:59+00:00"	"97.5"	"52832"	"31472"	"30144"	"15000"	"0.69"	"0.665"	"1.63"	"1.627"	"-5000"	"-5000"	"-54644"	"-55814"
