"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"8d5c4c6f-e26e-4646-82a1-9f434eaa2ce0"	"2024-02-09T20:39:51+00:00"	"2.5"	"54488"	"39880"	"44446"	"15000"	"0.824"	"0.907"	"1.64"	"1.637"	"-5000"	"-5000"	"-49480"	"-44751"
"8d5c4c6f-e26e-4646-82a1-9f434eaa2ce0"	"2024-02-09T20:39:51+00:00"	"50"	"55072"	"38800"	"43464"	"15000"	"0.795"	"0.88"	"1.635"	"1.632"	"-5000"	"-5000"	"-51243"	"-46414"
"8d5c4c6f-e26e-4646-82a1-9f434eaa2ce0"	"2024-02-09T20:39:51+00:00"	"97.5"	"55656"	"37720"	"42482"	"15000"	"0.768"	"0.853"	"1.63"	"1.627"	"-5000"	"-5000"	"-52999"	"-48070"
"7879202c-a562-437b-a946-6105e69331b0"	"2024-02-09T20:39:51+00:00"	"2.5"	"53952"	"42144"	"46368"	"15000"	"0.874"	"0.952"	"1.64"	"1.637"	"-5000"	"-5000"	"-46337"	"-41951"
"7879202c-a562-437b-a946-6105e69331b0"	"2024-02-09T20:39:51+00:00"	"50"	"54608"	"41120"	"45392"	"15000"	"0.845"	"0.923"	"1.635"	"1.632"	"-5000"	"-5000"	"-48164"	"-43728"
"7879202c-a562-437b-a946-6105e69331b0"	"2024-02-09T20:39:51+00:00"	"97.5"	"55264"	"40096"	"44416"	"15000"	"0.816"	"0.894"	"1.63"	"1.627"	"-5000"	"-5000"	"-49984"	"-45499"
"9fc92d4c-3c46-4c93-baeb-8ff3bedca073"	"2024-02-09T20:39:51+00:00"	"2.5"	"53840"	"44992"	"49920"	"15000"	"0.929"	"1.02"	"1.64"	"1.637"	"-5000"	"-5000"	"-43306"	"-38216"
"9fc92d4c-3c46-4c93-baeb-8ff3bedca073"	"2024-02-09T20:39:51+00:00"	"50"	"54400"	"44144"	"49088"	"15000"	"0.903"	"0.994"	"1.635"	"1.632"	"-5000"	"-5000"	"-44800"	"-39693"
"9fc92d4c-3c46-4c93-baeb-8ff3bedca073"	"2024-02-09T20:39:51+00:00"	"97.5"	"54960"	"43296"	"48256"	"15000"	"0.879"	"0.969"	"1.63"	"1.627"	"-5000"	"-5000"	"-46289"	"-41164"
"188eb7e5-ca0e-44af-beb0-e9a8ea75a972"	"2024-02-09T20:39:52+00:00"	"2.5"	"51796"	"44192"	"48176"	"15000"	"0.95"	"1.027"	"1.64"	"1.637"	"-5000"	"-5000"	"-40753"	"-36614"
"188eb7e5-ca0e-44af-beb0-e9a8ea75a972"	"2024-02-09T20:39:52+00:00"	"50"	"52812"	"43148"	"47352"	"15000"	"0.912"	"0.991"	"1.635"	"1.632"	"-5000"	"-5000"	"-43200"	"-38837"
"188eb7e5-ca0e-44af-beb0-e9a8ea75a972"	"2024-02-09T20:39:52+00:00"	"97.5"	"53828"	"42104"	"46528"	"15000"	"0.875"	"0.957"	"1.63"	"1.627"	"-5000"	"-5000"	"-45636"	"-41050"
"d82adaef-e987-43f6-a376-f7f8966d591e"	"2024-02-09T20:39:52+00:00"	"2.5"	"53322"	"44976"	"50368"	"15000"	"0.937"	"1.038"	"1.64"	"1.637"	"-5000"	"-5000"	"-42472"	"-36920"
"d82adaef-e987-43f6-a376-f7f8966d591e"	"2024-02-09T20:39:52+00:00"	"50"	"54092"	"44080"	"49664"	"15000"	"0.907"	"1.011"	"1.635"	"1.632"	"-5000"	"-5000"	"-44360"	"-38614"
"d82adaef-e987-43f6-a376-f7f8966d591e"	"2024-02-09T20:39:52+00:00"	"97.5"	"54862"	"43184"	"48960"	"15000"	"0.878"	"0.984"	"1.63"	"1.627"	"-5000"	"-5000"	"-46241"	"-40300"
"92e24b3f-e990-452d-9e37-7d3d81b288bb"	"2024-02-09T20:39:52+00:00"	"2.5"	"50108"	"44032"	"46834"	"15000"	"0.979"	"1.034"	"1.64"	"1.637"	"-5000"	"-5000"	"-38145"	"-35193"
"92e24b3f-e990-452d-9e37-7d3d81b288bb"	"2024-02-09T20:39:52+00:00"	"50"	"51280"	"42592"	"46000"	"15000"	"0.928"	"0.995"	"1.635"	"1.632"	"-5000"	"-5000"	"-41251"	"-37689"
"92e24b3f-e990-452d-9e37-7d3d81b288bb"	"2024-02-09T20:39:52+00:00"	"97.5"	"52452"	"41152"	"45166"	"15000"	"0.88"	"0.956"	"1.63"	"1.627"	"-5000"	"-5000"	"-44345"	"-40173"
"8063ae47-b247-4564-b457-64ec714b4f1a"	"2024-02-09T20:39:53+00:00"	"2.5"	"53536"	"45238"	"50724"	"15000"	"0.938"	"1.041"	"1.64"	"1.637"	"-5000"	"-5000"	"-42561"	"-36914"
"8063ae47-b247-4564-b457-64ec714b4f1a"	"2024-02-09T20:39:53+00:00"	"50"	"54304"	"44304"	"49948"	"15000"	"0.908"	"1.012"	"1.635"	"1.632"	"-5000"	"-5000"	"-44483"	"-38676"
"8063ae47-b247-4564-b457-64ec714b4f1a"	"2024-02-09T20:39:53+00:00"	"97.5"	"55072"	"43370"	"49172"	"15000"	"0.878"	"0.984"	"1.63"	"1.627"	"-5000"	"-5000"	"-46397"	"-40430"
