"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"4e8e886c-1511-4121-bdfd-2fd0cacb80c4"	"2024-01-30T18:48:12+00:00"	"2.5"	"44008"	"32672"	"29424"	"15000"	"0.856"	"0.782"	"1.904"	"2.034"	"-5000"	"-5000"	"-51119"	"-60088"
"4e8e886c-1511-4121-bdfd-2fd0cacb80c4"	"2024-01-30T18:48:12+00:00"	"50"	"44848"	"31920"	"28224"	"15000"	"0.823"	"0.741"	"1.91"	"2.04"	"-5000"	"-5000"	"-53740"	"-63266"
"4e8e886c-1511-4121-bdfd-2fd0cacb80c4"	"2024-01-30T18:48:12+00:00"	"97.5"	"45688"	"31168"	"27024"	"15000"	"0.792"	"0.701"	"1.915"	"2.047"	"-5000"	"-5000"	"-56325"	"-66499"
"05afa4dd-ddcf-47c6-a2b6-c93b0a82ad5c"	"2024-01-30T18:48:13+00:00"	"2.5"	"41936"	"30196"	"28180"	"15000"	"0.839"	"0.791"	"1.904"	"2.034"	"-5000"	"-5000"	"-49650"	"-57118"
"05afa4dd-ddcf-47c6-a2b6-c93b0a82ad5c"	"2024-01-30T18:48:13+00:00"	"50"	"42912"	"29572"	"26952"	"15000"	"0.806"	"0.745"	"1.91"	"2.04"	"-5000"	"-5000"	"-52390"	"-60588"
"05afa4dd-ddcf-47c6-a2b6-c93b0a82ad5c"	"2024-01-30T18:48:13+00:00"	"97.5"	"43888"	"28948"	"25724"	"15000"	"0.774"	"0.7"	"1.915"	"2.047"	"-5000"	"-5000"	"-55098"	"-64115"
"e49d1d80-3f74-4787-8682-eabe2b012f0c"	"2024-01-30T18:48:13+00:00"	"2.5"	"42486"	"31196"	"28632"	"15000"	"0.852"	"0.792"	"1.904"	"2.034"	"-5000"	"-5000"	"-49697"	"-57785"
"e49d1d80-3f74-4787-8682-eabe2b012f0c"	"2024-01-30T18:48:13+00:00"	"50"	"43664"	"30416"	"27288"	"15000"	"0.811"	"0.739"	"1.91"	"2.04"	"-5000"	"-5000"	"-52982"	"-61787"
"e49d1d80-3f74-4787-8682-eabe2b012f0c"	"2024-01-30T18:48:13+00:00"	"97.5"	"44842"	"29636"	"25944"	"15000"	"0.772"	"0.69"	"1.915"	"2.047"	"-5000"	"-5000"	"-56236"	"-65848"
"a07a04b2-8122-401b-bf59-f9a4581bf75c"	"2024-01-30T18:48:13+00:00"	"2.5"	"43360"	"31888"	"36648"	"15000"	"0.851"	"0.961"	"1.904"	"2.034"	"-5000"	"-5000"	"-50669"	"-51546"
"a07a04b2-8122-401b-bf59-f9a4581bf75c"	"2024-01-30T18:48:13+00:00"	"50"	"45008"	"30848"	"32064"	"15000"	"0.796"	"0.823"	"1.91"	"2.04"	"-5000"	"-5000"	"-55117"	"-59752"
"a07a04b2-8122-401b-bf59-f9a4581bf75c"	"2024-01-30T18:48:13+00:00"	"97.5"	"46656"	"29808"	"27480"	"15000"	"0.746"	"0.696"	"1.915"	"2.047"	"-5000"	"-5000"	"-59538"	"-68025"
"e937270f-d053-40c0-9b86-15ef5701752d"	"2024-01-30T18:48:13+00:00"	"2.5"	"46208"	"35294"	"31464"	"15000"	"0.872"	"0.789"	"1.904"	"2.034"	"-5000"	"-5000"	"-52686"	"-62523"
"e937270f-d053-40c0-9b86-15ef5701752d"	"2024-01-30T18:48:13+00:00"	"50"	"47064"	"34372"	"30120"	"15000"	"0.837"	"0.746"	"1.91"	"2.04"	"-5000"	"-5000"	"-55520"	"-65891"
"e937270f-d053-40c0-9b86-15ef5701752d"	"2024-01-30T18:48:13+00:00"	"97.5"	"47920"	"33450"	"28776"	"15000"	"0.802"	"0.705"	"1.915"	"2.047"	"-5000"	"-5000"	"-58317"	"-69316"
"73297ae7-d127-41da-bc3f-de94e6ca5eb4"	"2024-01-30T18:48:14+00:00"	"2.5"	"46112"	"35220"	"31730"	"15000"	"0.872"	"0.797"	"1.904"	"2.034"	"-5000"	"-5000"	"-52577"	"-62062"
"73297ae7-d127-41da-bc3f-de94e6ca5eb4"	"2024-01-30T18:48:14+00:00"	"50"	"47036"	"34328"	"30448"	"15000"	"0.836"	"0.754"	"1.91"	"2.04"	"-5000"	"-5000"	"-55511"	"-65505"
"73297ae7-d127-41da-bc3f-de94e6ca5eb4"	"2024-01-30T18:48:14+00:00"	"97.5"	"47960"	"33436"	"29166"	"15000"	"0.801"	"0.712"	"1.915"	"2.047"	"-5000"	"-5000"	"-58407"	"-69008"
"18c95a86-2fe2-4f38-895e-1579d63174c2"	"2024-01-30T18:48:14+00:00"	"2.5"	"47088"	"37024"	"33696"	"15000"	"0.892"	"0.822"	"1.904"	"2.034"	"-5000"	"-5000"	"-52632"	"-62081"
"18c95a86-2fe2-4f38-895e-1579d63174c2"	"2024-01-30T18:48:14+00:00"	"50"	"47584"	"36384"	"32672"	"15000"	"0.87"	"0.792"	"1.91"	"2.04"	"-5000"	"-5000"	"-54501"	"-64399"
"18c95a86-2fe2-4f38-895e-1579d63174c2"	"2024-01-30T18:48:14+00:00"	"97.5"	"48080"	"35744"	"31648"	"15000"	"0.847"	"0.762"	"1.915"	"2.047"	"-5000"	"-5000"	"-56329"	"-66772"
