"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"230629bf-7fa5-4ed6-bf14-8fe97fec0f68"	"2024-02-09T20:40:14+00:00"	"2.5"	"59232"	"40328"	"37776"	"15000"	"0.765"	"0.722"	"1.64"	"1.637"	"-5000"	"-5000"	"-56812"	"-59187"
"230629bf-7fa5-4ed6-bf14-8fe97fec0f68"	"2024-02-09T20:40:14+00:00"	"50"	"59600"	"39480"	"36864"	"15000"	"0.746"	"0.702"	"1.635"	"1.632"	"-5000"	"-5000"	"-57966"	"-60403"
"230629bf-7fa5-4ed6-bf14-8fe97fec0f68"	"2024-02-09T20:40:14+00:00"	"97.5"	"59968"	"38632"	"35952"	"15000"	"0.728"	"0.683"	"1.63"	"1.627"	"-5000"	"-5000"	"-59116"	"-61616"
"8aefd717-a978-4c89-a056-0e21ce2a81d1"	"2024-02-09T20:40:14+00:00"	"2.5"	"38448"	"27568"	"18352"	"15000"	"0.847"	"0.607"	"1.64"	"1.637"	"-5000"	"-5000"	"-35487"	"-44587"
"8aefd717-a978-4c89-a056-0e21ce2a81d1"	"2024-02-09T20:40:14+00:00"	"50"	"40096"	"23968"	"16176"	"15000"	"0.722"	"0.528"	"1.635"	"1.632"	"-5000"	"-5000"	"-41589"	"-49261"
"8aefd717-a978-4c89-a056-0e21ce2a81d1"	"2024-02-09T20:40:14+00:00"	"97.5"	"41744"	"20368"	"14000"	"15000"	"0.608"	"0.455"	"1.63"	"1.627"	"-5000"	"-5000"	"-47675"	"-53917"
"5cec3784-3aa6-411b-b0fc-895dbd9a61fc"	"2024-02-09T20:40:15+00:00"	"2.5"	"42336"	"29148"	"22336"	"15000"	"0.807"	"0.646"	"1.64"	"1.637"	"-5000"	"-5000"	"-40283"	"-46968"
"5cec3784-3aa6-411b-b0fc-895dbd9a61fc"	"2024-02-09T20:40:15+00:00"	"50"	"44224"	"25196"	"19768"	"15000"	"0.683"	"0.56"	"1.635"	"1.632"	"-5000"	"-5000"	"-47110"	"-52406"
"5cec3784-3aa6-411b-b0fc-895dbd9a61fc"	"2024-02-09T20:40:15+00:00"	"97.5"	"46112"	"21244"	"17200"	"15000"	"0.569"	"0.481"	"1.63"	"1.627"	"-5000"	"-5000"	"-53919"	"-57824"
"1409e01a-6285-4b70-9c7d-61f5cdf1d762"	"2024-02-09T20:40:15+00:00"	"2.5"	"41066"	"43320"	"38248"	"15000"	"1.177"	"1.053"	"1.64"	"1.637"	"-5000"	"-5000"	"-24028"	"-28977"
"1409e01a-6285-4b70-9c7d-61f5cdf1d762"	"2024-02-09T20:40:15+00:00"	"50"	"43032"	"38704"	"33016"	"15000"	"1.016"	"0.883"	"1.635"	"1.632"	"-5000"	"-5000"	"-31653"	"-37212"
"1409e01a-6285-4b70-9c7d-61f5cdf1d762"	"2024-02-09T20:40:15+00:00"	"97.5"	"44998"	"34088"	"27784"	"15000"	"0.869"	"0.729"	"1.63"	"1.627"	"-5000"	"-5000"	"-39259"	"-45428"
