"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"b981b1d2-1297-49f2-94d8-74082ffac66b"	"2024-02-01T00:23:42+00:00"	"2.5"	"48168"	"44224"	"43424"	"15000"	"1.022"	"1.005"	"1.64"	"1.637"	"-5000"	"-5000"	"-34772"	"-35427"
"b981b1d2-1297-49f2-94d8-74082ffac66b"	"2024-02-01T00:23:42+00:00"	"50"	"51072"	"41360"	"40752"	"15000"	"0.908"	"0.896"	"1.635"	"1.632"	"-5000"	"-5000"	"-42143"	"-42598"
"b981b1d2-1297-49f2-94d8-74082ffac66b"	"2024-02-01T00:23:42+00:00"	"97.5"	"53976"	"38496"	"38080"	"15000"	"0.806"	"0.798"	"1.63"	"1.627"	"-5000"	"-5000"	"-49485"	"-49739"
"5efafdb2-28cc-4dc1-8048-acb934478924"	"2024-02-01T00:23:42+00:00"	"2.5"	"35454"	"23338"	"27268"	"15000"	"0.799"	"0.91"	"1.64"	"1.637"	"-5000"	"-5000"	"-34807"	"-30770"
"5efafdb2-28cc-4dc1-8048-acb934478924"	"2024-02-01T00:23:42+00:00"	"50"	"35820"	"21360"	"25744"	"15000"	"0.736"	"0.858"	"1.635"	"1.632"	"-5000"	"-5000"	"-37206"	"-32714"
"5efafdb2-28cc-4dc1-8048-acb934478924"	"2024-02-01T00:23:42+00:00"	"97.5"	"36186"	"19382"	"24220"	"15000"	"0.674"	"0.807"	"1.63"	"1.627"	"-5000"	"-5000"	"-39601"	"-34655"
"9f8332cd-d348-4dd2-904e-8b3254e5acff"	"2024-02-01T00:23:43+00:00"	"2.5"	"36072"	"28960"	"29992"	"15000"	"0.941"	"0.97"	"1.64"	"1.637"	"-5000"	"-5000"	"-30198"	"-29058"
"9f8332cd-d348-4dd2-904e-8b3254e5acff"	"2024-02-01T00:23:43+00:00"	"50"	"36880"	"24644"	"25864"	"15000"	"0.804"	"0.837"	"1.635"	"1.632"	"-5000"	"-5000"	"-35655"	"-34324"
"9f8332cd-d348-4dd2-904e-8b3254e5acff"	"2024-02-01T00:23:43+00:00"	"97.5"	"37688"	"20328"	"21736"	"15000"	"0.672"	"0.709"	"1.63"	"1.627"	"-5000"	"-5000"	"-41103"	"-39582"
"88e65dbf-e685-4fc2-bbd2-79da17ab2dde"	"2024-02-01T00:23:43+00:00"	"2.5"	"42480"	"32624"	"33848"	"15000"	"0.886"	"0.915"	"1.64"	"1.637"	"-5000"	"-5000"	"-37043"	"-35692"
"88e65dbf-e685-4fc2-bbd2-79da17ab2dde"	"2024-02-01T00:23:43+00:00"	"50"	"44416"	"30440"	"31688"	"15000"	"0.798"	"0.826"	"1.635"	"1.632"	"-5000"	"-5000"	"-42180"	"-40799"
"88e65dbf-e685-4fc2-bbd2-79da17ab2dde"	"2024-02-01T00:23:43+00:00"	"97.5"	"46352"	"28256"	"29528"	"15000"	"0.717"	"0.745"	"1.63"	"1.627"	"-5000"	"-5000"	"-47298"	"-45887"
"01c33d75-9e2f-4b07-b7d6-ab707de1bf16"	"2024-02-01T00:23:43+00:00"	"2.5"	"35552"	"22784"	"27018"	"15000"	"0.782"	"0.901"	"1.64"	"1.637"	"-5000"	"-5000"	"-35521"	"-31181"
"01c33d75-9e2f-4b07-b7d6-ab707de1bf16"	"2024-02-01T00:23:43+00:00"	"50"	"35848"	"21040"	"25148"	"15000"	"0.726"	"0.841"	"1.635"	"1.632"	"-5000"	"-5000"	"-37571"	"-33356"
"01c33d75-9e2f-4b07-b7d6-ab707de1bf16"	"2024-02-01T00:23:43+00:00"	"97.5"	"36144"	"19296"	"23278"	"15000"	"0.672"	"0.782"	"1.63"	"1.627"	"-5000"	"-5000"	"-39619"	"-35528"
